,tag
676,#2_Temp_SV_za_preklop_EH
677,#2_Izhod_13
678,#2_VKLOPI_Komp_XXX00_0
679,#2_VKLOPI_Komp_00XX_0
680,#2_VKLOPI_Komp_0_XX00
681,#2_VKLOPI_Komp_0_00XX
682,#2_URE_Komp_000XXX
683,#2_URE_Komp_XXX000
684,#2_Pogoj_PRIKAZ_VKLOPI_Komp_XXX00_0
685,#2_Pogoj_PRIKAZ_VKLOPI_Komp_00XX_0
686,#2_Pogoj_PRIKAZ_VKLOPI_Komp_0_XX00
687,#2_Pogoj_PRIKAZ_URE_Komp_0_XX00
688,#2_URE_EH_XXX000
689,#2_URE_EH_000XXX
690,#2_VKLOPI_EH_XXX00_0
691,#2_VKLOPI_EH_00XX_0
692,#2_VKLOPI_EH_0_XX00
693,#2_VKLOPI_EH_0_00XX
694,#2_Pogoj_PRIKAZ_VKLOPI_EH_XXX00_0
695,#2_Pogoj_PRIKAZ_VKLOPI_EH_00XX_0
696,#2_Pogoj_PRIKAZ_VKLOPI_EH_0_XX00
697,#2_Pogoj_PRIKAZ_URE_EH_0_XX00
698,#2_Elektro_Grelci_casovno_CAS
699,#2_Zascita_Defrost_CAS
700,#2_CURRENT_CLOCK_CALIBRATION
701,#2_NEW_WEEKDAY
702,#2_SET_CLOCK_CALIBRATION
703,#2_SET_WEEKDAY
704,#2_PV_Cas_za_vklop
705,#2_PV_Cas_za_izklop
706,#2_PV_Max_moc_TC
707,#2_PV_Elektro_Grelci
708,#2_Temperatura_ZALOG_z_EH_VISJA
709,#2_MIN_HL_Temp_ZALOG_za_PV_f
710,#2_PV_Max_moc_TC_HL
711,#2_PV_pogoj_MASKA_Visja_temp
712,#2_PV_pogoj_MASKA_NIZJA_temp
713,#2_Zascita_Defrost_VKLOP_CAS
714,#2_Zascita_Defrost_VKLOP_TEMP
715,#2_Zascita_Defrost_TEMP
716,#2_MK1_OGR_Krivulja_X2
717,#2_MK1_OGR_Krivulja_X1
718,#2_MK1_OGR_Krivulja_Y1
